1770;60000;3087;" 63,57"
1880;60000;3087;" 68,32"
1990;60000;3087;" 73,34"
2100;60000;3087;" 78,38"
2210;60000;3087;" 83,73"
2320;60000;3087;" 88,99"
2430;60000;3087;" 94,44"
2540;60000;3087;" 99,92"
3020;60000;3087;"100,00"
;;;
0;200;1456;"  0,02"
110;200;1456;"  7,62"
220;200;1456;" 15,31"
330;200;1456;" 23,38"
440;200;1456;" 31,18"
550;200;1456;" 39,27"
660;200;1456;" 47,03"
770;200;1456;" 55,07"
880;200;1456;" 62,68"
990;200;1456;" 70,99"
1100;200;1456;" 78,79"
1210;200;1456;" 86,91"
1320;200;1456;" 95,03"
;;;
30;20000;1996;"  2,10"
140;20000;1996;"  6,15"
250;20000;1996;"  9,45"
360;20000;1996;" 13,42"
470;20000;1996;" 17,81"
580;20000;1996;" 22,75"
690;20000;1996;" 28,35"
800;20000;1996;" 34,12"
910;20000;1996;" 40,30"
1020;20000;1996;" 46,47"
1130;20000;1996;" 53,02"
1240;20000;1996;" 58,95"
1350;20000;1996;" 65,62"
1460;20000;1996;" 72,55"
1570;20000;1996;" 79,26"
1680;20000;1996;" 86,14"
1790;20000;1996;" 93,34"
2010;20000;1996;"100,00"
;;;
50;40000;2542;"  3,42"
160;40000;2542;"  9,70"
270;40000;2542;" 12,00"
380;40000;2542;" 14,86"
490;40000;2542;" 17,79"
600;40000;2542;" 21,28"
710;40000;2542;" 24,96"
820;40000;2542;" 28,74"
930;40000;2542;" 33,01"
1040;40000;2542;" 37,66"
1150;40000;2542;" 42,41"
1260;40000;2542;" 47,47"
1370;40000;2542;" 52,56"
1480;40000;2542;" 58,06"
1590;40000;2542;" 63,56"
1700;40000;2542;" 69,40"
1810;40000;2542;" 75,12"
1920;40000;2542;" 81,45"
2030;40000;2542;" 87,14"
2140;40000;2542;" 93,30"
2250;40000;2542;" 99,28"
2550;40000;2542;"100,00"
;;;
0;60000;3087;"  0,01"
110;60000;3087;"  7,76"
240;60000;3087;" 14,55"
350;60000;3087;" 16,70"
460;60000;3087;" 19,20"
570;60000;3087;" 21,79"
680;60000;3087;" 24,53"
790;60000;3087;" 27,66"
900;60000;3087;" 30,83"
1010;60000;3087;" 34,35"
1120;60000;3087;" 37,91"
1230;60000;3087;" 41,88"
1340;60000;3087;" 45,76"
1450;60000;3087;" 50,02"
